theta_deg	R_normalised
1.08575	0.000753908
1.08725	0.000763763
1.08875	0.000750622
1.09025	0.000839318
1.09175	0.000901732
1.09325	0.000977288
1.09475	0.00095265
1.09625	0.0011054
1.09775	0.00122859
1.09925	0.00123352
1.10075	0.00133207
1.10225	0.0013682
1.10375	0.00133864
1.10525	0.00139941
1.10675	0.00134356
1.10825	0.00118917
1.10975	0.00117767
1.11125	0.00116618
1.11275	0.00104463
1.11425	0.00096579
1.11575	0.00082782
1.11725	0.000721057
1.11875	0.00071613
1.12025	0.000614295
1.12175	0.000556807
1.12325	0.000497678
1.12475	0.0005256
1.12625	0.000507533
1.12775	0.000550237
1.12925	0.000607725
1.13075	0.000657
1.13225	0.000747338
1.13375	0.000773618
1.13525	0.000857385
1.13675	0.000909945
1.13825	0.000969075
1.13975	0.000960862
1.14125	0.00104791
1.14275	0.000980573
1.14425	0.000960862
1.14575	0.00100521
1.14725	0.000951007
1.14875	0.00081468
1.15025	0.000770333
1.15175	0.000816322
1.15325	0.000607725
1.15475	0.000653715
1.15625	0.000515745
1.15775	0.000476325
1.15925	0.000443475
1.16075	0.000410625
1.16225	0.000364635
1.16375	0.000371205
1.16525	0.00038763
1.16675	0.000410625
1.16825	0.000431978
1.16975	0.000496035
1.17125	0.000602797
1.17275	0.00063729
1.17425	0.000688208
1.17575	0.000730913
1.17725	0.00076212
1.17875	0.000747338
1.18025	0.000778545
1.18175	0.00088038
1.18325	0.000737483
1.18475	0.000740768
1.18625	0.000725985
1.18775	0.000691493
1.18925	0.00065043
1.19075	0.000491108
1.19225	0.00049932
1.19375	0.00042705
1.19525	0.000371205
1.19675	0.000379417
1.19825	0.000305505
1.19975	0.0003285
1.20125	0.00030879
1.20275	0.000271013
1.20425	0.00027594
1.20575	0.000325215
1.20725	0.000356423
1.20875	0.000441832
1.21025	0.00045333
1.21175	0.000542025
1.21325	0.00048618
1.21475	0.000629078
1.21625	0.000596228
1.21775	0.000681637
1.21925	0.000675068
1.22075	0.000660285
1.22225	0.000693135
1.22375	0.000560093
1.22525	0.000586373
1.22675	0.000510818
1.22825	0.000500963
1.22975	0.000422123
1.23125	0.000402412
1.23275	0.000362992
1.23425	0.000251302
1.23575	0.000218453
1.23725	0.000198743
1.23875	0.000215167
1.24025	0.000213525
1.24175	0.000200385
1.24325	0.000231592
1.24475	0.000246375
1.24625	0.000297292
1.24775	0.000336712
1.24925	0.000362992
1.25075	0.000443475
1.25225	0.000438547
1.25375	0.000471397
1.25525	0.000569948
1.25675	0.000510818
1.25825	0.000497678
1.25975	0.000533813
1.26125	0.000543667
1.26275	0.000502605
1.26425	0.00047961
1.26575	0.000474682
1.26725	0.000395843
1.26875	0.000330143
1.27025	0.000331785
1.27175	0.000298935
1.27325	0.000257873
1.27475	0.000174105
1.27625	0.00018396
1.27775	0.000149468
1.27925	0.00016425
1.28075	0.00016425
1.28225	0.000147825
1.28375	0.000198743
1.28525	0.000251302
1.28675	0.000226665
1.28825	0.00029565
1.28975	0.000346568
1.29125	0.000349853
1.29275	0.000404055
1.29425	0.000441832
1.29575	0.000418838
1.29725	0.00043362
1.29875	0.00040734
1.30025	0.000425408
1.30175	0.000443475
1.30325	0.00040734
1.30475	0.000382703
1.30625	0.00030879
1.30775	0.000300577
1.30925	0.000266085
1.31075	0.000272655
1.31225	0.00018396
1.31375	0.000174105
1.31525	0.00015768
1.31675	0.00012483
1.31825	0.0001314
1.31975	0.000141255
1.32125	0.000133043
1.32275	0.00013797
1.32425	0.00016425
1.32575	0.000192172
1.32725	0.000226665
1.32875	0.000307148
1.33025	0.000349853
1.33175	0.000366277
1.33325	0.000349853
1.33475	0.000364635
1.33625	0.000431978
1.33775	0.000369563
1.33925	0.00036792
1.34075	0.000412267
1.34225	0.000351495
1.34375	0.000366277
1.34525	0.000318645
1.34675	0.000271013
1.34825	0.000238163
1.34975	0.000185603
1.35125	0.000160965
1.35275	0.000142897
1.35425	0.000134685
1.35575	9.855e-05
1.35725	0.00011826
1.35875	0.00010512
1.36025	0.000113332
1.36175	0.000119903
1.36325	0.00011826
1.36475	0.000167535
1.36625	0.000221738
1.36775	0.000220095
1.36925	0.00023652
1.37075	0.00031536
1.37225	0.00028908
1.37375	0.000359708
1.37525	0.000369563
1.37675	0.000399127
1.37825	0.000372847
1.37975	0.000390915
1.38125	0.000382703
1.38275	0.000313718
1.38425	0.000298935
1.38575	0.000287437
1.38725	0.00023652
1.38875	0.000238163
1.39025	0.000172462
1.39175	0.000149468
1.39325	0.00011826
